,hotel_id,hotel_name,session_id,text,source,timestamp,turns,duration,initiator,msg_id,len,has_q
701118,1ec42925-a3d9-4f34-83bc-f101b3fa9dac,The Inn at Entrada,451665fb-3b99-4606-b45b-7e5226acd0c8,602 is airing out,guest,2017-11-10 18:10:25.000000,6246,"665 days, 2:05:52.142000",hotel,5472,17,False
796085,748467df-f7a2-48dc-9dcb-ae0e81215306,Thompson Chicago,b1512f87-83e0-4eb5-a472-39e932a9bf41,Thank you look forward to it.,guest,2017-10-19 19:08:26.000000,1,0:00:00,guest,1,29,False
866619,e1892309-f7fb-4594-b900-ea1f2b499607,UrHomeInPhilly,2501f2cd-09e1-4871-b1dd-242f70c82540,Let me know when you send the invoice then,guest,2017-12-07 21:50:17.000000,47,"4 days, 23:15:06",guest,33,42,False
697833,1ec42925-a3d9-4f34-83bc-f101b3fa9dac,The Inn at Entrada,451665fb-3b99-4606-b45b-7e5226acd0c8,Jk yes Shelby made sure we got it done asap,guest,2017-01-18 23:45:28.000000,6246,"665 days, 2:05:52.142000",hotel,2187,43,False
357128,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,310f518e-0a94-41ae-80af-cda50a6e0206,"Thanks 
❤Luv:sunglasses:Jones✌",guest,2017-09-30 13:29:46.000000,12,"4 days, 14:55:23.206000",hotel,7,30,False
751723,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,42a03c5a-e465-4b0d-b517-1457d3c81a5c,Ticket 108593 will be down in 10 minutes,guest,2016-11-16 12:07:39.000000,5,"2 days, 1:29:18",guest,1,40,False
814469,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,948e8ae8-7a4f-4ff6-801d-6ff723ef1640,Have a great day!,guest,2017-01-10 15:13:27.000000,12,"4 days, 1:03:30",guest,7,17,False
746861,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,267bb025-cbc9-46df-9cca-21ce264e4522,I don't need a wake up call,guest,2017-11-17 12:34:37.000000,3,"94 days, 21:13:34.672000",hotel,2,27,False
140126,7e49dfd2-1e15-487e-86f7-393c6a906e7b,Hotel Andaluz,8d1a2c17-be91-4642-b2c3-d25fe44baf14,I was just letting you know,guest,2017-05-28 20:35:29.000000,21,7:52:54,guest,8,27,False
200815,6b756a7b-73c3-48df-85f8-6d2e9f82c1f7,Hotel Max,a1e8b88f-719c-4925-b2fc-3d35a6b4c33d,We're celebrating a 30th birthday!,guest,2017-09-08 13:24:07.000000,12,"4 days, 6:28:45.688000",guest,1,34,False
746064,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,226cbc66-745d-4a9b-8712-237ca473fc43,Could you please get our Trk. Number is H 103482,guest,2017-05-21 18:12:03.000000,15,"1 day, 2:10:34",guest,9,48,False
802998,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,2dd85cc1-7282-4d1c-83dc-160b29ef32a2,in room massage scheduled for 10 am on Monday.,guest,2016-12-17 14:17:19.000000,4,"1 day, 5:16:49",guest,2,46,False
592218,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,7bd11596-e397-402c-b2ad-c29eec2afc54,I can't get back in the room to put the fab back,guest,2017-08-12 17:53:55.000000,65,"5 days, 22:44:22.882000",hotel,53,48,False
802700,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,2a506dea-f84f-4231-b531-b38b5d7c8e21,"Packing up!!!  Sorry, just a few more minutes!",guest,2017-10-01 16:45:09.000000,3,0:51:02,guest,3,46,False
683973,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,f80c6a96-1ffb-41a5-966e-63822f5752c6,Hi I think I'm here !,guest,2017-07-24 16:51:55.000000,71,"158 days, 18:35:16",guest,19,21,False
743356,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,121b7ef8-e67c-4a25-b486-f5be0724f6e1,Valet ticket 109257 please. On my way down. Thanks,guest,2017-01-14 14:12:03.000000,5,13:08:23.572000,guest,4,50,False
424665,c263681f-b53c-4c11-bc28-68bb25412a38,Sundial Beach Resort & Spa,7fa8c5db-5729-4f02-9a08-5b48a62b0ac8,11am for housekeeping would work. Thanks,guest,2017-07-01 02:52:52.000000,27,"20 days, 13:47:14.484000",hotel,11,40,False
838541,e5a81e0f-c3ec-4c47-aadc-20a265c93a67,Urban Flat,289e958d-e198-46ee-987d-8cba215041ce,Need to verify a provider,guest,2016-09-13 01:38:53.000000,17,"6 days, 1:25:53",guest,10,25,False
513278,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,20a0807a-5077-4c24-8e61-411167648a07,We are stepping out,guest,2017-06-13 20:59:16.000000,54,"2 days, 15:19:42.816000",guest,50,19,False
639380,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,bd6b5e72-b7c7-400e-8a50-bdd7049a177a,Bourbon actually but we want to shop it.,guest,2016-11-04 20:34:42.000000,18,"4 days, 5:44:44",guest,12,40,False
176149,3ffebfaf-7147-4827-b4fe-1610ac1bbf5e,Hotel Lincoln,5cefacb0-98dd-4a12-b6b2-944737abe41f,I will be there around 5:30-6pm,guest,2017-11-29 17:17:12.000000,7,0:24:53,guest,3,31,False
129823,911d0847-f958-4e92-9e17-04c290d3243f,"Holiday Inn Express - Newton, NJ",2ce26c84-ddae-4b59-813f-3cd2eadbb57d,From Monday please sorry for the confusion.,guest,2016-09-03 14:30:35.000000,14,1:12:56.205000,hotel,8,43,False
562743,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,54b47fb8-5587-4e43-85b1-f323da5ee914,maybe just until 5pm,guest,2017-12-06 17:27:01.000000,73,"36 days, 16:35:28.781000",guest,31,20,False
115727,55577b72-f91a-425a-8615-1d9f529a6eaa,"HALCYON, a hotel in Cherry Creek",8005e3c6-cd96-4db0-bece-dc04c0b21f5f,"I am here !!!
Love It",guest,2017-06-09 00:19:08.000000,2,0:00:48.747000,guest,1,21,False
818838,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,bca9019b-fc5d-4918-a878-53c1e9d4f0c9,"Great, thanks! Fingers crossed",guest,2017-03-23 13:43:23.000000,4,"2 days, 1:01:31",guest,3,30,False
495502,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,0b581c1f-96ad-41de-97f3-87ecfea05e87,This is joe towers we just checked out.,guest,2017-10-30 15:33:02.000000,13,"126 days, 22:42:06.873000",hotel,11,39,False
335692,8b9ea7e8-253d-4790-b820-5c2c95b8ed7f,Radisson Blu Chicago,2694a306-596a-46ad-8560-194ffabfaee1,Do you have Airport pickup shuttle from Midway,guest,2016-10-25 14:26:51.000000,11,"5 days, 0:13:49.140000",guest,5,46,False
777430,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,d039779b-77b6-4d27-9632-d8e3263fa3ab,Great so far. Thank you.,guest,2017-06-02 19:48:10.000000,1,0:00:00,guest,1,24,False
594807,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,7ec50c20-1d1b-455d-a3eb-554994b0ed1d,"Darn!
Thank you!",guest,2017-11-16 12:50:55.000000,136,"78 days, 7:47:51",guest,101,16,False
353017,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,11419fee-6b1e-4b79-9ef7-963d865f2791,the future doesn’t look so good.,guest,2017-10-18 22:12:53.000000,24,"6 days, 7:23:10",guest,14,32,False
492337,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,07d1cd64-a10a-4aa1-b4ac-fdf906f8e8da,Okay no worries! Thank you!,guest,2017-04-07 20:07:26.000000,30,"1 day, 20:36:56.205000",guest,21,27,False
815159,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,99e307bc-1a7c-4703-b615-acbc0089a95a,Please send electronic copy to D[EMAIL],guest,2017-01-22 16:42:08.000000,2,0:39:32.287000,guest,1,39,False
858478,e5a81e0f-c3ec-4c47-aadc-20a265c93a67,Urban Flat,c7e5d2de-daad-4286-8372-10e7882e0778,I will checkout around 10AM,guest,2017-01-13 01:40:42.000000,7,"4 days, 22:50:47.852000",hotel,7,27,False
691620,1ec42925-a3d9-4f34-83bc-f101b3fa9dac,The Inn at Entrada,052486e1-83dc-41e9-b4ed-4e690b200393,1202 is vacant clean,guest,2017-03-15 15:41:13.000000,4380,"663 days, 20:22:24.771000",hotel,1982,20,False
570893,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,5f1cd5cf-c226-4513-83eb-27fd85b2e052,Awesome! Thank you so much!,guest,2017-07-19 13:08:18.000000,59,"28 days, 6:20:41",guest,3,27,False
115022,55577b72-f91a-425a-8615-1d9f529a6eaa,"HALCYON, a hotel in Cherry Creek",6d2faa55-2cd1-423c-8637-88302319758a,Awesome. Thank you!,guest,2017-07-10 17:31:59.000000,6,"1 day, 3:39:45",guest,6,19,False
362097,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,53c127bd-4eb2-45f4-a614-6edb7f66bf8d,Good restaurants,guest,2017-05-13 01:09:26.000000,7,18:13:56.633000,hotel,4,16,False
876191,cba41a8f-1d4e-4f56-85be-40f4e416fc5b,Wild Palms Hotel,419909e9-1c37-4f81-ba74-3886f1527c2f,"Fantastic, thanks Melissa!",guest,2017-09-05 18:19:40.000000,75,"269 days, 15:06:01.770000",guest,37,26,False
202833,6b756a7b-73c3-48df-85f8-6d2e9f82c1f7,Hotel Max,f379f22a-c737-4494-b5ce-b52c4547e4d1,:ok_hand:🏼:clap:🏼,guest,2017-11-20 04:21:58.000000,4,17:54:51,guest,3,17,False
464007,0aab7c30-43d5-41f7-a412-a0481faa2d8d,The Cape A Thompson Hotel,8d11bd14-0b07-4356-98ac-1e7b3de51e3c,Ok let's have car come at 12:30.,guest,2017-02-16 15:37:50.000000,15,"2 days, 23:39:39.237000",guest,14,32,False
130420,911d0847-f958-4e92-9e17-04c290d3243f,"Holiday Inn Express - Newton, NJ",55b9b3c8-e04e-4dbd-9ed5-4d8319b03ef7,Great- thanks again!,guest,2017-05-26 00:58:26.000000,6,"2 days, 17:26:04",guest,5,20,False
137797,7e49dfd2-1e15-487e-86f7-393c6a906e7b,Hotel Andaluz,59ff771a-00b8-438e-802a-028a41b191e9,Excellent. Thank you!,guest,2017-06-07 18:06:20.000000,13,"1 day, 19:51:42",guest,5,21,False
355969,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,27d4ba8d-4a81-451c-a85d-0878cb75b424,Booking.com asked me to do a review and I did,guest,2017-09-19 17:24:23.000000,8,"6 days, 1:09:12",guest,8,45,False
366089,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,6f6e1b9f-399b-402b-a085-80cd37e2b351,Thank you so much,guest,2018-01-05 15:15:46.000000,9,"1 day, 21:32:33",guest,9,17,False
757276,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,630d1c98-8c15-4b28-baec-f4bbc687f4d9,Need our car 103446,guest,2017-05-20 19:27:38.000000,6,"1 day, 0:13:59.087000",guest,3,19,False
357000,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,304ca765-13fe-4058-bf15-3f577411a198,Is 4pm the earliest we can check in,guest,2017-06-17 18:39:53.000000,4,"1 day, 2:03:02.785000",guest,1,35,False
847693,e5a81e0f-c3ec-4c47-aadc-20a265c93a67,Urban Flat,6c35abcc-8580-4571-bc3a-7ce4472e85f2,"Hello, can u tell me how to use the expresso",guest,2017-07-27 15:44:57.000000,32,"7 days, 19:22:38.537000",hotel,3,44,False
813456,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,8b2734b5-45ee-4184-adaf-894d90aa752e,Everything is great so far. Thank you,guest,2016-11-06 14:02:37.000000,3,0:00:45,guest,1,37,False
544086,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,3c593eca-de89-414d-81ff-c729d2a81f22,No. Thanks. We finished breakfast.,guest,2017-03-04 16:12:27.000000,25,"80 days, 17:37:00",guest,25,34,False
750115,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,394f76d8-52c1-4cfc-bd95-efcd73b073b5,It’s good. I’ll let you know if I need anything.,guest,2017-09-29 18:28:14.000000,1,0:00:00,guest,1,48,False
635688,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,b82f8ccf-f3bd-40d1-b834-014ef965cbec,You rock. Thank you.,guest,2017-06-05 19:13:30.000000,15,21:15:39.235000,hotel,11,20,False
824162,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,ec019975-3ef2-446e-8a50-d3a80a353199,"Thanks, we can't wait!:grinning:",guest,2017-05-18 13:05:28.000000,1,0:00:00,guest,1,32,False
385996,47056ccb-d8f4-4a28-bf48-7982b3b9387d,Sea Crest Oceanfront Resort,fb72397a-2e2e-4dbc-9458-a407c10f5cd0,Great thank you so much!!,guest,2017-12-26 17:16:40.000000,5,0:02:05,guest,5,25,False
123319,34f0438f-00db-4810-9b30-c4ed8898cd63,Holiday Inn - At the Pavilion,4f9ecff0-c9ee-4e38-9bca-d16e503e832f,We should arrive around 7 is that ok,guest,2017-12-15 23:21:56.000000,34,"1 day, 6:56:22.266000",guest,28,36,False
159048,c0e205b5-9d8c-44f0-9b8b-543e102119bf,Hotel Ignacio,51b1a399-c509-4b7a-acaf-ca7c4867498e,I am traveling by myself for work,guest,2016-06-10 21:43:40.000000,6,0:21:32,guest,5,33,False
705494,1ec42925-a3d9-4f34-83bc-f101b3fa9dac,The Inn at Entrada,6486ce20-39b2-4515-aa9c-efa2a7eab3ec,Let me know when other arrivals get out thanks,guest,2017-11-05 16:03:22.000000,1574,"389 days, 23:04:22.693000",hotel,1515,46,False
448350,0aab7c30-43d5-41f7-a412-a0481faa2d8d,The Cape A Thompson Hotel,3631e602-4a7c-4bc9-9cdf-80595932a0fd,I've been nauseous all day with no relief,guest,2017-07-26 00:54:52.000000,16,"3 days, 8:50:59.325000",guest,13,41,False
177431,3ffebfaf-7147-4827-b4fe-1610ac1bbf5e,Hotel Lincoln,66ccde85-fd79-4254-84eb-aa9359905117,Great so far.  No thank you,guest,2017-09-14 16:04:51.000000,2,0:01:13.122000,guest,1,27,False
81466,bf2a99a9-aad2-4b22-9722-5315f5c77cba,EroRentals.com,43dab43f-6324-4c5b-b2a2-b2b231116645,When will i get check in insructions,guest,2017-03-19 19:01:55.000000,34,"96 days, 7:28:40.003000",hotel,2,36,False
748847,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,31b691f1-bad6-4825-a33d-63a880882faa,Perfect! Thank you,guest,2017-10-21 01:11:32.000000,2,0:00:20.318000,guest,1,18,False
266808,7246364b-efd3-4f14-a8dc-25a05ee4c4ec,Inn At Saint Mary's,c1700dce-c222-46e8-9be8-7b6bd70dff53,You can make sure all the lamps in the room work.,guest,2017-09-23 16:04:35.000000,2,0:53:29.291000,guest,1,49,False
140821,7e49dfd2-1e15-487e-86f7-393c6a906e7b,Hotel Andaluz,9e4bcd46-8f83-4d0c-a9f9-75e15901abd3,Looking forward to our visit.,guest,2016-11-08 21:24:00.000000,1,0:00:00,guest,1,29,False
645610,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,c5d8f8fe-c88b-4656-9c96-f4453248c8d3,Is there black out curtains for the bedroom,guest,2018-01-09 00:06:02.000000,20,"3 days, 2:53:29.585000",guest,11,43,False
558056,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,4e8b3b1c-231a-4d0d-9c9f-faf04cdc8b8a,Thank you! You are the best. Have a great weekend!,guest,2017-05-19 15:54:37.000000,6,0:38:16.320000,guest,5,50,False
762039,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,7e0e1804-5c63-4479-b996-ba3cee291da2,I have a fish allergy,guest,2017-08-27 06:47:04.000000,25,"1 day, 4:13:28.274000",guest,11,21,False
31401,fd491c4d-10a5-4e48-9d65-6f94f34e43c0,Coral Beach Resort,05141c25-edb9-462d-aca5-8b194279ae27,Smoking around pool shouldn't be aloud,guest,2017-07-06 17:20:36.000000,5,"2 days, 23:38:18.975000",hotel,4,38,False
57414,fd491c4d-10a5-4e48-9d65-6f94f34e43c0,Coral Beach Resort,ffff2d55-1226-475e-b39d-9215a53568ce,How are the conditions in the area since the storm,guest,2016-10-12 22:36:06.000000,8,"2 days, 0:03:13.760000",guest,1,50,False
546186,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,3f4df609-e982-4054-bc84-ee8066d8b15b,Finished check in,guest,2018-01-05 19:07:20.000000,20,18:05:35.888000,hotel,14,17,False
398623,dea01f08-ae01-4667-b510-20a2c916eb6d,SoBro Guest House,87f01b75-cf69-4ec3-8dfd-2dac77d98153,We can come sooner if needed,guest,2017-11-06 22:35:00.000000,21,"1 day, 6:01:17.540000",hotel,18,28,False
182414,3ffebfaf-7147-4827-b4fe-1610ac1bbf5e,Hotel Lincoln,8f09b8c4-1822-49d0-a524-3c3e8a6169fe,It's great- thank you!,guest,2016-11-28 18:17:45.000000,3,"2 days, 2:46:11",guest,3,22,False
139360,7e49dfd2-1e15-487e-86f7-393c6a906e7b,Hotel Andaluz,7f0e20a1-9785-48b4-b851-41f835d01161,thank you.!  i would enjoy some ice in my room.,guest,2017-12-31 21:47:56.000000,4,2:32:21.912000,guest,1,47,False
587474,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,758e6a21-62ff-49dd-b7df-a25ccf29bdf3,GLU 1237 Completed,guest,2017-09-30 17:53:17.000000,343,"32 days, 5:23:23.982000",hotel,319,18,False
561690,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,532c52e4-b7d0-4ff0-a587-ab853e241cc5,"Great, thank you!",guest,2017-02-12 16:33:38.000000,157,"282 days, 5:06:46.837000",hotel,42,17,False
643953,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,c3d43532-0873-4470-97bb-ac228a167285,"Hello, sorry I forgot the wifi password",guest,2017-04-26 18:12:52.000000,23,"8 days, 0:28:42.492000",guest,8,39,False
783542,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,f019f44b-e9b7-42b9-b7a7-73cdc8b038ea,"Great, thank you!",guest,2017-08-08 00:38:31.000000,2,0:00:30.753000,guest,1,17,False
492651,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,080d69dd-5600-4492-a940-9058fdb37e58,Hey we made it! But there is no key fob here,guest,2017-09-08 23:30:44.000000,16,"2 days, 20:08:40.005000",hotel,4,44,False
760720,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,77d3bc76-f810-4c83-a99b-137c7e230f0c,Everything is good,guest,2017-06-26 23:46:21.000000,3,0:02:20,guest,1,18,False
406492,7511adfe-2d00-4115-9feb-1bd9a5beb177,Stanford Court Hotel,0ee38b14-c7fa-46a8-b9ac-781fc4e55909,"Thank you, I appreciate it.",guest,2016-12-18 00:14:23.000000,1,0:00:00,guest,1,27,False
651265,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,ce131fa2-7c51-47bf-a8db-216fd8bfaf1a,Great thank you so much,guest,2018-01-21 19:24:24.000000,20,"4 days, 1:46:49.625000",hotel,11,23,False
340279,8b9ea7e8-253d-4790-b820-5c2c95b8ed7f,Radisson Blu Chicago,7967efd8-6c97-43ba-bb36-bae344db37fd,Thank you so muxh,guest,2017-09-30 15:19:50.000000,10,13:00:04.287000,hotel,2,17,False
604822,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,8cc380b4-5dd5-4294-9274-5302b73f9bba,Oh and 1 shot glass if you have one please.,guest,2017-11-25 19:06:13.000000,121,"4 days, 15:32:54.712000",hotel,71,43,False
879848,cba41a8f-1d4e-4f56-85be-40f4e416fc5b,Wild Palms Hotel,93b24f4b-8f44-4904-8a78-61dcb0ceb7ec,Thank u:grinning:,guest,2017-10-03 17:59:17.000000,5,"18 days, 1:30:50",guest,5,17,False
63776,deb9cec5-ce56-46af-b3b2-eae97f881b4e,Dogfish Inn,e5caa5f3-968c-4970-9277-97d73e0e369d,"No problem, 5 works well, thanks!",guest,2017-01-13 16:46:36.000000,7,23:22:02.516000,hotel,6,33,False
